"정류장이름","정류장ID","도착시간","노선번호","노선아이디","막차여부","요일","공휴일여부"
"장안면사무소","233000498","16:14:01.786111","[1-1]","233000051","0","5","1"
"우정읍사무소","233002091","16:14:01.786111","[2]","233000013","0","5","1"
"사곡6리","233000496","16:14:01.786111","[2-1]","233000052","0","5","1"
"사곡6리","233000487","16:14:01.786111","[2-2]","233000035","0","5","1"
"우정초등학교","233000371","16:14:01.786111","[3-1]","233000027","0","5","1"
"독정3리.거묵골","233000506","16:14:01.786111","[23]","233000085","0","5","1"
"삼괴중고등학교","233001066","16:14:01.786111","[24]","233000081","0","5","1"
"상신6리","233000803","16:14:01.786111","[33-1]","233000010","0","5","1"
"해창1리.우리꽃식물원","233001402","16:14:01.786111","[33-1]","233000010","0","5","1"
"조암터미널","233000929","16:14:01.786111","[8155]","233000139","0","5","1"
"장안대학","233000833","16:14:01.786111","[8155]","233000139","0","5","1"
"의왕신부곡IC(경유)","277103315","16:14:01.786111","[8155]","233000139","0","5","1"
"의왕톨게이트","226000038","16:14:01.786111","[8155]","233000139","0","5","1"
"봉담읍사무소","233000836","16:14:01.786111","[8155]","233000139","0","5","1"
"남현동(경유)","277102049","16:14:01.786111","[8155]","233000139","0","5","1"
"해창1리.우리꽃식물원","233001402","16:14:01.786111","[8155]","233000139","0","5","1"
"전원마을.남태령역2번출구","121000167","16:14:01.786111","[8155]","233000139","0","5","1"
"해병대사령부","233000794","16:14:01.786111","[8155]","233000139","0","5","1"
"화성시보건소앞","233000388","16:14:01.786111","[9801]","241005320","0","5","1"
"고색초교.태산아파트","201000018","16:14:01.786111","[9801]","241005320","0","5","1"
"오목천동사거리","201000164","16:14:01.786111","[9802]","241005300","0","5","1"
"장안대학","233000833","16:14:01.786111","[9802]","241005300","0","5","1"
"수원역","202000119","16:14:01.786111","[9802]","241005300","0","5","1"
"수촌3리","233002612","16:14:01.786111","[9802]","241005300","0","5","1"
"어은4리","233000497","16:14:28.098723","[1-1]","233000051","0","5","1"
"삼괴중고교","233002089","16:14:28.098723","[2]","233000013","0","5","1"
"장안우체국","233002511","16:14:28.098723","[2-1]","233000052","0","5","1"
"장안여자중학교","233000486","16:14:28.098723","[2-2]","233000035","0","5","1"
"어은리","233001646","16:14:28.098723","[23]","233000085","0","5","1"
"시장앞","233001247","16:14:28.098723","[24]","233000081","0","5","1"
"의왕톨게이트","226000039","16:14:28.098723","[8155]","233000139","0","5","1"
"사곡1리","233000993","16:14:54.403541","[2-1]","233000052","0","5","1"
"매곡리","233000391","16:14:54.403541","[33-1]","233000010","0","5","1"
"가톨릭대학교","233000830","16:14:54.403541","[8155]","233000139","0","5","1"
"과천동(경유)","277102291","16:14:54.403541","[8155]","233000139","0","5","1"
"왕림교차로(경유)","277102694","16:14:54.403541","[9802]","241005300","0","5","1"
"조암4리앞","233000370","16:15:20.896056","[3-1]","233000027","0","5","1"
"장의리","233000377","16:15:20.896056","[9802]","241005300","0","5","1"
"장작터","233001776","16:15:47.124224","[2-1]","233000052","0","5","1"
"어은삼거리","233001387","16:15:47.124224","[23]","233000085","0","5","1"
"향남부영13단지","233002474","16:15:47.124224","[33-1]","233000010","0","5","1"
"조암리(경유)","277102394","16:15:47.124224","[8155]","233000139","0","5","1"
"가톨릭대학교","233000791","16:15:47.124224","[8155]","233000139","0","5","1"
"어은삼거리","233001816","16:16:13.641667","[1-1]","233000051","0","5","1"
"조암GS주유소","233000373","16:16:13.641667","[2]","233000013","0","5","1"
"의왕터널진입(경유)","277103221","16:16:13.641667","[8155]","233000139","0","5","1"
"발안만세시장","233000387","16:16:13.641667","[9801]","241005320","0","5","1"
"해병대사령부","233000827","16:16:13.641667","[9802]","241005300","0","5","1"
"장안초등학교","233001366","16:16:40.072458","[1-1]","233000051","0","5","1"
"한국폴리텍대학","233000390","16:16:40.072458","[33-1]","233000010","0","5","1"
"해병대사령부","233000827","16:16:40.072458","[8155]","233000139","0","5","1"
"장안초등학교(경유)","277102592","16:16:40.072458","[8155]","233000139","0","5","1"
"금의1리","233002611","16:16:40.072458","[9802]","241005300","0","5","1"
"조암터미널","233002665","16:16:40.072458","[9802]","241005300","0","5","1"
"조암GS주유소","233000373","16:17:07.186130","[1-1]","233000051","0","5","1"
"기아생활관","233000485","16:17:07.186130","[2-1]","233000052","0","5","1"
"운평2리","233001156","16:17:07.186130","[3-1]","233000027","0","5","1"
"제암리","233001388","16:17:07.186130","[33-1]","233000010","0","5","1"
"주공아파트","233000524","16:17:07.186130","[8155]","233000139","0","5","1"
"오목초교삼거리(경유)","277102800","16:17:07.186130","[9801]","241005320","0","5","1"
"조암터미널","233000928","16:17:33.466295","[2]","233000013","0","5","1"
"장안초등학교","233001366","16:17:33.466295","[23]","233000085","0","5","1"
"동양빌딩앞","233000389","16:17:33.466295","[33-1]","233000010","0","5","1"
"하길중학교","233002417","16:17:33.466295","[33-1]","233000010","0","5","1"
"조암한라비발디","233002243","16:17:33.466295","[8155]","233000139","0","5","1"
"왕람휴게소(경유)","277102570","16:17:33.466295","[8155]","233000139","0","5","1"
"대공원고가교(경유)","277103204","16:17:33.466295","[8155]","233000139","0","5","1"
"어은1리","233002630","16:17:33.466295","[9802]","241005300","0","5","1"
"화산삼거리","233000484","16:17:59.719100","[2-1]","233000052","0","5","1"
"조암GS주유소","233000373","16:17:59.719100","[23]","233000085","0","5","1"
"온석동입구","233002223","16:17:59.719100","[2000B]","233000264","0","5","1"
"장안대학","233000788","16:17:59.719100","[8155]","233000139","0","5","1"
"발안삼거리.바다마트","233001371","16:17:59.719100","[9801]","241005320","0","5","1"
"고색초교.태산아파트","201000023","16:17:59.719100","[9802]","241005300","0","5","1"
"어은1정미소앞","233002610","16:17:59.719100","[9802]","241005300","0","5","1"
"화산1리","233001185","16:18:26.029929","[2-1]","233000052","0","5","1"
"운평사거리","233001157","16:18:26.029929","[3-1]","233000027","0","5","1"
"온석2통","233002836","16:18:26.029929","[2000B]","233000264","0","5","1"
"덕리(경유)","277102383","16:18:26.029929","[8155]","233000139","0","5","1"
"학의JC(경유)","277103159","16:18:26.029929","[8155]","233000139","0","5","1"
"조암한라비발디","233002243","16:18:26.029929","[9802]","241005300","0","5","1"
"우림아파트.화성노인회관","233000525","16:18:52.406770","[33-1]","233000010","0","5","1"
"온석2통앞","233002214","16:18:52.406770","[2000B]","233000264","0","5","1"
"어은삼거리","233000402","16:18:52.406770","[8155]","233000139","0","5","1"
"장짐삼거리(경유)","277102010","16:18:52.406770","[8155]","233000139","0","5","1"
"장안대학","233000833","16:18:52.406770","[8155]","233000139","0","5","1"
"오목천동사거리","201000167","16:18:52.406770","[9801]","241005320","0","5","1"
"팔탄입구삼거리(경유)","277101750","16:18:52.406770","[9802]","241005300","0","5","1"
"석천2리입구","233001003","16:19:18.635424","[2-1]","233000052","0","5","1"
"과천IC(경유)","277103202","16:19:18.635424","[8155]","233000139","0","5","1"
"어은삼거리","233001387","16:19:18.635424","[9802]","241005300","0","5","1"
"운평1리평밭","233001163","16:19:45.067505","[3-1]","233000027","0","5","1"
"향남부영3단지","233002412","16:19:45.067505","[33-1]","233000010","0","5","1"
"주공아파트","233000524","16:19:45.067505","[33-1]","233000010","0","5","1"
"현대연구소입구","233002844","16:19:45.067505","[2000B]","233000264","0","5","1"
"과천터널진입(경유)","277103200","16:19:45.067505","[8155]","233000139","0","5","1"
"진우아파트","233000823","16:19:45.067505","[8155]","233000139","0","5","1"
"영신여자고교.청구아파트","201000166","16:19:45.067505","[9801]","241005320","0","5","1"
"어은삼거리","233000402","16:19:45.067505","[9802]","241005300","0","5","1"
"향남주공1.2단지","233002410","16:20:11.391094","[33-1]","233000010","0","5","1"
"과천터널진입(경유)","277103201","16:20:11.391094","[8155]","233000139","0","5","1"
